role,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
property,playsgame,playsgame,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
property,hasachievement,hasachievement,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
property,hasitem,hasitem,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
property,livesin,livesin,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
property,hasplayingarea,hasplayingarea,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
property,releasedate,hasreleasedate,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8074; levenshtein=0.7857; semantic=0.9390; sequence_match=0.8800,False,0.8755,True,selected
property,username,hasusername,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8258; levenshtein=0.7273; semantic=0.9058; sequence_match=0.8421,False,0.8579,True,selected
property,hasgamegenre,hasgenre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9083; levenshtein=0.6667; semantic=0.8515; sequence_match=0.8000,False,0.8533,True,selected
property,ownsachievement,hasachievementtype,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7944; levenshtein=0.6111; semantic=0.7775; sequence_match=0.7273,False,0.7664,True,selected
property,purchasesgameoffering,purchases,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8857; levenshtein=0.4286; semantic=0.7164; sequence_match=0.6000,False,0.7340,True,selected
property,isfriendwithplayer,hasfriend,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6270; levenshtein=0.3333; semantic=0.7502; sequence_match=0.5185,False,0.6319,True,selected
property,hasachievement,hasachievementtype,jaro_winkler+sequence_match+semantic,jaro_winkler=0.9556; levenshtein=0.7778; semantic=0.8445; sequence_match=0.8750,False,0.8917,False,gold already mapped to 'hasachievement'
property,ownsachievement,hasachievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8579; levenshtein=0.8000; semantic=0.9066; sequence_match=0.8276,False,0.8640,False,pred already taken by 'hasachievement' (higher averaged score)
property,playsgame,plays,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9111; levenshtein=0.5556; semantic=0.8511; sequence_match=0.7143,False,0.8255,False,gold already mapped to 'playsgame'
property,ownsitem,hasitem,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7798; levenshtein=0.6250; semantic=0.7977; sequence_match=0.6667,False,0.7481,False,pred already taken by 'hasitem' (higher averaged score)
property,hasitem,hastype,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8667; levenshtein=0.4286; semantic=0.6629; sequence_match=0.7143,False,0.7480,False,gold already mapped to 'hasitem'
property,hasitem,hasfriend,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8296; levenshtein=0.4444; semantic=0.6765; sequence_match=0.6250,False,0.7104,False,gold already mapped to 'hasitem'
property,hasachievement,hasitem,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8333; levenshtein=0.4286; semantic=0.6592; sequence_match=0.5714,False,0.6880,False,gold already mapped to 'hasachievement'
property,hasitem,hasachievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8333; levenshtein=0.4286; semantic=0.6592; sequence_match=0.5714,False,0.6880,False,gold already mapped to 'hasitem'
property,hasitem,hasusername,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8061; levenshtein=0.4545; semantic=0.6565; sequence_match=0.5556,False,0.6727,False,gold already mapped to 'hasitem'
property,hasgamegenre,playsgame,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7222; levenshtein=0.3333; semantic=0.7003; sequence_match=0.5714,False,0.6647,False,gold already mapped to 'hasgenre'
property,hasplayingarea,hasgenre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8208; levenshtein=0.4286; semantic=0.5715; sequence_match=0.5455,False,0.6459,False,gold already mapped to 'hasplayingarea'
property,livesin,existsin,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7131; levenshtein=0.5000; semantic=0.6839; sequence_match=0.5333,False,0.6434,False,gold already mapped to 'livesin'
property,hasgamegenre,hasachievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8065; levenshtein=0.3571; semantic=0.5700; sequence_match=0.5385,False,0.6383,False,gold already mapped to 'hasgenre'
property,hasachievement,hasfriend,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6984; levenshtein=0.4286; semantic=0.6838; sequence_match=0.5217,False,0.6347,False,gold already mapped to 'hasachievement'
property,hasitem,hasachievementtype,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8111; levenshtein=0.3333; semantic=0.5879; sequence_match=0.4800,False,0.6263,False,gold already mapped to 'hasitem'
property,hasplayingarea,hastype,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7944; levenshtein=0.3571; semantic=0.5934; sequence_match=0.4762,False,0.6213,False,gold already mapped to 'hasplayingarea'
property,hasgamegenre,hasusername,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8215; levenshtein=0.4167; semantic=0.5179; sequence_match=0.5217,False,0.6204,False,gold already mapped to 'hasgenre'
property,hasachievement,hasusername,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6829; levenshtein=0.3571; semantic=0.6961; sequence_match=0.4800,False,0.6197,False,gold already mapped to 'hasachievement'
property,playsgame,hasplayingarea,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6951; levenshtein=0.5000; semantic=0.5549; sequence_match=0.6087,False,0.6196,False,gold already mapped to 'playsgame'
property,hasplayingarea,playsgame,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6951; levenshtein=0.5000; semantic=0.5549; sequence_match=0.6087,False,0.6196,False,gold already mapped to 'hasplayingarea'
property,hasitem,hasgenre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6905; levenshtein=0.3750; semantic=0.6078; sequence_match=0.5333,False,0.6105,False,gold already mapped to 'hasitem'
property,hasachievement,hastotalpayments,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6488; levenshtein=0.4375; semantic=0.5459; sequence_match=0.5333,False,0.5760,False,top-3 avg score 0.5760 < final_threshold 0.6
property,username,hasgenre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6833; levenshtein=0.2500; semantic=0.5358; sequence_match=0.5000,False,0.5730,False,top-3 avg score 0.5730 < final_threshold 0.6
property,hasachievement,hasgenre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6607; levenshtein=0.3571; semantic=0.5986; sequence_match=0.4545,False,0.5713,False,top-3 avg score 0.5713 < final_threshold 0.6
property,hasgamegenre,hasachievementtype,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6759; levenshtein=0.3889; semantic=0.5629; sequence_match=0.4667,False,0.5685,False,top-3 avg score 0.5685 < final_threshold 0.6
property,hasgamegenre,hasplayingarea,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6627; levenshtein=0.4286; semantic=0.5019; sequence_match=0.5385,False,0.5677,False,top-3 avg score 0.5677 < final_threshold 0.6
property,purchasesgameoffering,playsgame,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6085; levenshtein=0.3333; semantic=0.6088; sequence_match=0.4667,False,0.5613,False,top-3 avg score 0.5613 < final_threshold 0.6
property,hasplayingarea,hasfriend,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6429; levenshtein=0.2857; semantic=0.6048; sequence_match=0.4348,False,0.5608,False,top-3 avg score 0.5608 < final_threshold 0.6
property,hasachievement,hasplayingarea,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6190; levenshtein=0.2857; semantic=0.6331; sequence_match=0.4286,False,0.5602,False,top-3 avg score 0.5602 < final_threshold 0.6
property,hasplayingarea,hasachievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6190; levenshtein=0.2857; semantic=0.6331; sequence_match=0.4286,False,0.5602,False,top-3 avg score 0.5602 < final_threshold 0.6
property,hasachievement,hasreleasedate,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6726; levenshtein=0.2857; semantic=0.5763; sequence_match=0.4286,False,0.5592,False,top-3 avg score 0.5592 < final_threshold 0.6
property,hasitem,hasplayingarea,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6190; levenshtein=0.3571; semantic=0.5783; sequence_match=0.4762,False,0.5578,False,top-3 avg score 0.5578 < final_threshold 0.6
property,hasplayingarea,hasitem,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6190; levenshtein=0.3571; semantic=0.5783; sequence_match=0.4762,False,0.5578,False,top-3 avg score 0.5578 < final_threshold 0.6
